,en,ko
0,Shanghai,상하이
1,Penang,페낭
2,Malaysia,말레이시아
3,Nanjing,난징
4,Stuttgart,슈트트가르트
5,Kumamoto,구마모토
6,Cebu,세부
7,Philippines,필리핀
8,Riyadh,리야드
9,Saudi Arabia,사우디아라비아
10,Orlando,올랜도
11,Manchester,맨체스터
12,Bali,발리
13,Denpasar,덴파사르
14,Indonesia,인도네시아
15,Toyama,토야마
16,Jeddah,제다
17,Las Vegas,라스베가스
18,Barcelona,바르셀로나
19,Spain,스페인
20,Takamatsu,다카마쓰
21,Doha,도하
22,Qatar,카타르
23,Khartoum,카르툼
24,Sudan,수단
25,Phuket,푸켓
26,Honolulu,호놀룰루
27,Okayama,오카야마
28,Cambodia,캄보디아
29,Wellington,웰링턴
30,New Zealand,뉴질랜드
31,Philadelphia,필라델피아
32,Bahrain,바레인
33,Madrid,마드리드
34,Saipan,싸이판
35,Seattle,시애틀
36,Hanoi,하노이
37,Vietnam,베트남
38,Nadi,나디
39,Fiji,피지
40,Islands,아일랜드
41,Greece,그리스
42,Jakarta,자카르타
43,Niigata,니이가타
44,Kuwait,쿠웨이트
45,Dallas,달라스
46,Cairns,케언즈
47,Hiroshima,히로시마
48,Nairobi,나이로비
49,Kenya,케냐
50,Ho Chi Minh,호치민
51,Adelaide,아델레이드
52,Okinawa,오키나와
53,Taipei,타이페이
54,Cape Town,케이프타운
55,South Africa,사우스아프리카
56,Israel,이스라엘
57,Komatsu,고마츠
58,San Francisco,샌프란시스코
59,Guam,괌
60,Amsterdam,암스테르담
61,Netherlands,네델란드
62,Singapore,싱가폴
63,Chicago,시카고
64,Perth,퍼스
65,Nagoya,나고야
66,Istanbul,이스탄불
67,Turkey,터키
68,Washington,워싱턴
69,Toronto,토론토
70,Canada,캐나다
71,Auckland,오클랜드
72,Manila,마닐라
73,Melbourne,멜버른
74,Vancouver,밴쿠버
75,Frankfurt,프랑크푸르트
76,Osaka,오사카
77,Johannesburg,요하네스버그
78,Dubai,두바이
79,Arab Emirates,아랍에미리트
80,Brisbane,브리즈번
81,Paris,파리
82,France,프랑스
83,Tokyo,도쿄
84,Bangkok,방콕
85,New York,뉴욕
86,Sydney,시드니
87,Beijing,베이징
88,Cairo,카이로
89,Egypt,이집트
90,Hong Kong,홍콩
91,Los Angeles,로스앤젤레스
92,London,런던
93,Al Ain,알 아인
94,Abu Dhabi,아부다비
95,Ras Al Khaimah,라스 알 카이마
96,KABUL,카불
97,Afghanistan,아프가니스탄
98,Antigua,앤티가
99,Tirana,티라나
100,Albania,알바니아
101,Erevan,예레반
102,Armenia,아르메니아
103,Netherland,네덜란드
104,Luanda,루안다
105,Angola,앙골라
106,Cordoba,코르도바
107,Buenos Aires,부에노스 아이레스
108,Graz,그라츠
109,Austria,오스트리아
110,Linz,린츠
111,Vienna,비엔나
112,Alice Springs,앨리스 스프링
113,Broome,브룸
114,Canberra,캔버라
115,Coffs Harbour,콥스 하버
116,Darwin,다윈
117,Hobart,호바트
118,Gold Coast,골드 코스트
119,Aruba,아루바
120,BAKU,바쿠
121,Azerbaijan,아제르바이잔
122,Ganja,간자
123,Nakhichevan,나히체반
124,Bosnia Herzegovina,보스니아 헤르체코비나
125,Sarajevo,사라예보
126,Dhaka,다카
127,Bangladesh,방글라데시
128,Brussels,브뤼셀
129,Burkina Faso,부르키나파소
130,Sofia,소피아
131,Bulgaria,불가리아
132,Bujumbura,부줌부라
133,Burundi,부룬디
134,Cotonou,코토누
135,Benin,베닌
136,Bermuda,버뮤다
137,Bandar Seri Begawan,반다르 세리 베가완
138,Brunei,브루나이
139,La Paz,라 파스
140,Bolivia,볼리비아
141,Santa Cruz,산타 크루스
142,Brasilia,브라질리아
143,Brazil,브라질
144,Cuiaba,쿠이아바
145,Curitiba,쿠리티바
146,Iguassu Falls,이과수 폴스
147,Manaus,마나우스
